week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,inverse_matchup
1,b'The Ice Cold Bruschi',1,Ricky,b'Immortal Duffmen',2,PD,151.28,144.06,134.26,105.66,0
1,b'Immortal Duffmen',2,PD,b'The Ice Cold Bruschi',1,Ricky,134.26,105.66,151.28,144.06,1
1,"b""Jadeveon's Hit Men""",3,Tim,"b""We're Back""",13,Nate,136.83,142.7,143.49,144.54,0
1,"b""We're Back""",13,Nate,"b""Jadeveon's Hit Men""",3,Tim,143.49,144.54,136.83,142.7,1
1,"b""John Brown's Army""",4,Eric,b'Thunder Crotches',12,Jake,134.37,174.72,139.15,140.8,0
1,b'Thunder Crotches',12,Jake,"b""John Brown's Army""",4,Eric,139.15,140.8,134.37,174.72,1
1,b'Saquon These Nuts',5,matt,b'Thug Bungalow',11,Mike,137.37,161.64,141.33,146.92,0
1,b'Thug Bungalow',11,Mike,b'Saquon These Nuts',5,matt,141.33,146.92,137.37,161.64,1
1,b'Starr is Born',6,Nick,b'The Twelve Apostles',10,Matt Jones,132.57,164.24,138.04,141.9,0
1,b'The Twelve Apostles',10,Matt Jones,b'Starr is Born',6,Nick,138.04,141.9,132.57,164.24,1
1,b'SuperCam That Ho',7,Lauren,b'The Scientist',9,Kyle,134.61,93.86,126.25,64.7,0
1,b'The Scientist',9,Kyle,b'SuperCam That Ho',7,Lauren,126.25,64.7,134.61,93.86,1
1,b'The fishingtons',8,mike,b'who invited canada',14,Peter,139.82,147.92,125.45,103.32,0
1,b'who invited canada',14,Peter,b'The fishingtons',8,mike,125.45,103.32,139.82,147.92,1
2,b'The Ice Cold Bruschi',1,Ricky,"b""Jadeveon's Hit Men""",3,Tim,145.56,145.58,133.23,145.76,0
2,"b""Jadeveon's Hit Men""",3,Tim,b'The Ice Cold Bruschi',1,Ricky,133.23,145.76,145.56,145.58,1
2,b'Immortal Duffmen',2,PD,b'who invited canada',14,Peter,141.39,165.8,132.85,114.26,0
2,b'who invited canada',14,Peter,b'Immortal Duffmen',2,PD,132.85,114.26,141.39,165.8,1
2,"b""John Brown's Army""",4,Eric,"b""We're Back""",13,Nate,141.51,173.62,144.74,103.52,0
2,"b""We're Back""",13,Nate,"b""John Brown's Army""",4,Eric,144.74,103.52,141.51,173.62,1
2,b'Saquon These Nuts',5,matt,b'Thunder Crotches',12,Jake,142.69,146.76,138.28,70.82,0
2,b'Thunder Crotches',12,Jake,b'Saquon These Nuts',5,matt,138.28,70.82,142.69,146.76,1
2,b'Starr is Born',6,Nick,b'Thug Bungalow',11,Mike,132.81,97.0,143.26,137.94,0
2,b'Thug Bungalow',11,Mike,b'Starr is Born',6,Nick,143.26,137.94,132.81,97.0,1
2,b'SuperCam That Ho',7,Lauren,b'The Twelve Apostles',10,Matt Jones,119.94,87.82,140.06,143.5,0
2,b'The Twelve Apostles',10,Matt Jones,b'SuperCam That Ho',7,Lauren,140.06,143.5,119.94,87.82,1
2,b'The fishingtons',8,mike,b'The Scientist',9,Kyle,138.73,120.26,135.6,133.5,0
2,b'The Scientist',9,Kyle,b'The fishingtons',8,mike,135.6,133.5,138.73,120.26,1
3,b'The Ice Cold Bruschi',1,Ricky,"b""John Brown's Army""",4,Eric,173.17,158.68,143.04,159.66,0
3,"b""John Brown's Army""",4,Eric,b'The Ice Cold Bruschi',1,Ricky,143.04,159.66,173.17,158.68,1
3,b'Immortal Duffmen',2,PD,"b""Jadeveon's Hit Men""",3,Tim,141.26,107.66,146.59,141.34,0
3,"b""Jadeveon's Hit Men""",3,Tim,b'Immortal Duffmen',2,PD,146.59,141.34,141.26,107.66,1
3,b'Saquon These Nuts',5,matt,"b""We're Back""",13,Nate,143.81,136.04,128.46,150.42,0
3,"b""We're Back""",13,Nate,b'Saquon These Nuts',5,matt,128.46,150.42,143.81,136.04,1
3,b'Starr is Born',6,Nick,b'Thunder Crotches',12,Jake,136.97,136.84,135.24,159.04,0
3,b'Thunder Crotches',12,Jake,b'Starr is Born',6,Nick,135.24,159.04,136.97,136.84,1
3,b'SuperCam That Ho',7,Lauren,b'Thug Bungalow',11,Mike,121.02,115.78,134.15,143.46,0
3,b'Thug Bungalow',11,Mike,b'SuperCam That Ho',7,Lauren,134.15,143.46,121.02,115.78,1
3,b'The fishingtons',8,mike,b'The Twelve Apostles',10,Matt Jones,134.63,129.8,134.98,133.14,0
3,b'The Twelve Apostles',10,Matt Jones,b'The fishingtons',8,mike,134.98,133.14,134.63,129.8,1
3,b'The Scientist',9,Kyle,b'who invited canada',14,Peter,132.87,116.1,125.26,163.42,0
3,b'who invited canada',14,Peter,b'The Scientist',9,Kyle,125.26,163.42,132.87,116.1,1
4,b'The Ice Cold Bruschi',1,Ricky,b'Saquon These Nuts',5,matt,146.0,150.98,122.85,154.9,0
4,b'Saquon These Nuts',5,matt,b'The Ice Cold Bruschi',1,Ricky,122.85,154.9,146.0,150.98,1
4,b'Immortal Duffmen',2,PD,"b""John Brown's Army""",4,Eric,119.62,109.08,141.18,140.7,0
4,"b""John Brown's Army""",4,Eric,b'Immortal Duffmen',2,PD,141.18,140.7,119.62,109.08,1
4,"b""Jadeveon's Hit Men""",3,Tim,b'who invited canada',14,Peter,133.16,125.2,124.52,143.3,0
4,b'who invited canada',14,Peter,"b""Jadeveon's Hit Men""",3,Tim,124.52,143.3,133.16,125.2,1
4,b'Starr is Born',6,Nick,"b""We're Back""",13,Nate,132.51,132.44,133.64,133.98,0
4,"b""We're Back""",13,Nate,b'Starr is Born',6,Nick,133.64,133.98,132.51,132.44,1
4,b'SuperCam That Ho',7,Lauren,b'Thunder Crotches',12,Jake,119.63,102.84,133.07,81.32,0
4,b'Thunder Crotches',12,Jake,b'SuperCam That Ho',7,Lauren,133.07,81.32,119.63,102.84,1
