week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against
1,b'The Ice Cold Bruschi',1,--hidden--,b'Immortal Duffmen',2,--hidden--,151.28,144.06,134.26,105.66
2,b'The Ice Cold Bruschi',1,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,145.56,145.58,133.23,145.76
3,b'The Ice Cold Bruschi',1,--hidden--,"b""John Brown's Army""",4,--hidden--,173.17,158.68,143.04,159.66
4,b'The Ice Cold Bruschi',1,--hidden--,b'Saquon These Nuts',5,--hidden--,146.0,150.98,122.85,154.9
5,b'The Ice Cold Bruschi',1,--hidden--,b'Starr is Born',6,--hidden--,145.99,120.64,127.76,150.66
6,b'The Ice Cold Bruschi',1,--hidden--,b'SuperCam That Ho',7,--hidden--,136.33,135.24,120.78,123.22
7,b'The Ice Cold Bruschi',1,--hidden--,b'The fishingtons',8,--hidden--,139.01,102.52,124.44,135.26
8,b'The Ice Cold Bruschi',1,--hidden--,b'The Scientist',9,--hidden--,139.06,165.66,124.65,164.82
9,b'The Ice Cold Bruschi',1,--hidden--,b'The Twelve Apostles',10,--hidden--,148.8,121.0,119.33,158.12
10,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',11,--hidden--,142.54,109.42,135.29,168.12
11,b'The Ice Cold Bruschi',1,--hidden--,b'Thunder Crotches',12,--hidden--,142.64,129.08,113.29,125.56
12,b'The Ice Cold Bruschi',1,--hidden--,"b""We're Back""",13,--hidden--,148.38,177.96,123.12,126.58
13,b'The Ice Cold Bruschi',1,--hidden--,b'who invited canada',14,--hidden--,148.33,149.3,117.43,123.52
15,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',11,--hidden--,150.18,168.98,141.77,106.74
16,b'The Ice Cold Bruschi',1,--hidden--,b'Immortal Duffmen',2,--hidden--,157.95,179.92,123.52,132.46
1,b'Immortal Duffmen',2,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,134.26,105.66,151.28,144.06
2,b'Immortal Duffmen',2,--hidden--,b'who invited canada',14,--hidden--,141.39,165.8,132.85,114.26
3,b'Immortal Duffmen',2,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,141.26,107.66,146.59,141.34
4,b'Immortal Duffmen',2,--hidden--,"b""John Brown's Army""",4,--hidden--,119.62,109.08,141.18,140.7
5,b'Immortal Duffmen',2,--hidden--,b'Saquon These Nuts',5,--hidden--,133.39,102.5,139.24,185.92
6,b'Immortal Duffmen',2,--hidden--,b'Starr is Born',6,--hidden--,130.96,188.74,112.36,113.3
7,b'Immortal Duffmen',2,--hidden--,b'SuperCam That Ho',7,--hidden--,131.32,102.96,102.19,81.14
8,b'Immortal Duffmen',2,--hidden--,b'The fishingtons',8,--hidden--,121.5,144.54,121.71,122.9
9,b'Immortal Duffmen',2,--hidden--,b'The Scientist',9,--hidden--,122.47,90.36,125.91,134.12
10,b'Immortal Duffmen',2,--hidden--,b'The Twelve Apostles',10,--hidden--,119.13,91.78,137.41,152.48
11,b'Immortal Duffmen',2,--hidden--,b'Thug Bungalow',11,--hidden--,131.66,126.74,131.38,118.96
12,b'Immortal Duffmen',2,--hidden--,b'Thunder Crotches',12,--hidden--,124.93,94.84,106.2,86.18
13,b'Immortal Duffmen',2,--hidden--,"b""We're Back""",13,--hidden--,108.62,121.68,154.9,124.54
14,b'Immortal Duffmen',2,--hidden--,b'SuperCam That Ho',7,--hidden--,130.79,118.22,116.85,107.16
15,b'Immortal Duffmen',2,--hidden--,b'Saquon These Nuts',5,--hidden--,122.54,129.8,102.29,106.72
16,b'Immortal Duffmen',2,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,123.52,132.46,157.95,179.92
1,"b""Jadeveon's Hit Men""",3,--hidden--,"b""We're Back""",13,--hidden--,136.83,142.7,143.49,144.54
2,"b""Jadeveon's Hit Men""",3,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,133.23,145.76,145.56,145.58
3,"b""Jadeveon's Hit Men""",3,--hidden--,b'Immortal Duffmen',2,--hidden--,146.59,141.34,141.26,107.66
4,"b""Jadeveon's Hit Men""",3,--hidden--,b'who invited canada',14,--hidden--,133.16,125.2,124.52,143.3
5,"b""Jadeveon's Hit Men""",3,--hidden--,"b""John Brown's Army""",4,--hidden--,142.1,142.34,142.53,140.1
6,"b""Jadeveon's Hit Men""",3,--hidden--,b'Saquon These Nuts',5,--hidden--,137.81,165.6,126.54,140.96
7,"b""Jadeveon's Hit Men""",3,--hidden--,b'Starr is Born',6,--hidden--,127.04,125.12,126.92,152.96
8,"b""Jadeveon's Hit Men""",3,--hidden--,b'SuperCam That Ho',7,--hidden--,134.48,157.56,135.91,116.9
9,"b""Jadeveon's Hit Men""",3,--hidden--,b'The fishingtons',8,--hidden--,129.35,135.74,127.09,118.54
10,"b""Jadeveon's Hit Men""",3,--hidden--,b'The Scientist',9,--hidden--,124.37,136.52,129.0,127.18
11,"b""Jadeveon's Hit Men""",3,--hidden--,b'The Twelve Apostles',10,--hidden--,135.75,91.36,95.7,112.62
12,"b""Jadeveon's Hit Men""",3,--hidden--,b'Thug Bungalow',11,--hidden--,136.0,141.02,133.02,120.44
13,"b""Jadeveon's Hit Men""",3,--hidden--,b'Thunder Crotches',12,--hidden--,133.25,107.22,112.68,105.4
15,"b""Jadeveon's Hit Men""",3,--hidden--,b'The fishingtons',8,--hidden--,146.36,126.62,132.93,130.02
16,"b""Jadeveon's Hit Men""",3,--hidden--,b'The Twelve Apostles',10,--hidden--,139.2,113.96,135.9,157.96
1,"b""John Brown's Army""",4,--hidden--,b'Thunder Crotches',12,--hidden--,134.37,174.72,139.15,140.8
2,"b""John Brown's Army""",4,--hidden--,"b""We're Back""",13,--hidden--,141.51,173.62,144.74,103.52
3,"b""John Brown's Army""",4,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,143.04,159.66,173.17,158.68
4,"b""John Brown's Army""",4,--hidden--,b'Immortal Duffmen',2,--hidden--,141.18,140.7,119.62,109.08
5,"b""John Brown's Army""",4,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,142.53,140.1,142.1,142.34
6,"b""John Brown's Army""",4,--hidden--,b'who invited canada',14,--hidden--,148.44,165.52,136.9,144.0
7,"b""John Brown's Army""",4,--hidden--,b'Saquon These Nuts',5,--hidden--,152.45,124.14,135.5,93.36
8,"b""John Brown's Army""",4,--hidden--,b'Starr is Born',6,--hidden--,139.05,192.26,135.01,108.58
9,"b""John Brown's Army""",4,--hidden--,b'SuperCam That Ho',7,--hidden--,129.69,95.56,109.68,141.28
10,"b""John Brown's Army""",4,--hidden--,b'The fishingtons',8,--hidden--,149.37,136.84,110.88,110.22
11,"b""John Brown's Army""",4,--hidden--,b'The Scientist',9,--hidden--,146.26,130.78,118.18,143.82
12,"b""John Brown's Army""",4,--hidden--,b'The Twelve Apostles',10,--hidden--,129.02,101.5,142.86,103.5
13,"b""John Brown's Army""",4,--hidden--,b'Thug Bungalow',11,--hidden--,145.52,131.1,140.58,155.9
14,"b""John Brown's Army""",4,--hidden--,b'Starr is Born',6,--hidden--,132.7,110.62,133.6,123.24
