week,team_name,in_season_manager_id,manager_name,opponent_team_name,in_season_opponent_manager_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season,win
1,The Ice Cold Bruschi,1,Ricky,Jadeveon's Hit Men,3,Tim,105.32,123.8,94.97,100.87,2015,1
2,The Ice Cold Bruschi,1,Ricky,Thug Bungalow,5,Michael,94.91,106.43,96.95,102.1,2015,1
3,The Ice Cold Bruschi,1,Ricky,Thunder Crotches,7,Jake,98.54,101.23,102.01,89.87,2015,1
4,The Ice Cold Bruschi,1,Ricky,The Scientist,9,Kyle,102.49,113.67,107.05,84.53,2015,1
5,The Ice Cold Bruschi,1,Ricky,Immortal Duffmen,11,Pat,76.25,122.47,98.02,72.7,2015,1
6,The Ice Cold Bruschi,1,Ricky,Victor Cruisin,13,Frags,113.97,118.4,104.49,112.57,2015,1
7,The Ice Cold Bruschi,1,Ricky,who invited canada,2,Peter,102.26,96.33,100.95,105.87,2015,0
8,The Ice Cold Bruschi,1,Ricky,The Scientist,9,Kyle,110.91,105.07,100.13,130.7,2015,0
9,The Ice Cold Bruschi,1,Ricky,Jadeveon's Hit Men,3,Tim,121.66,124.77,103.02,84.13,2015,1
10,The Ice Cold Bruschi,1,Ricky,Thug Bungalow,5,Michael,109.12,110.83,116.6,71.7,2015,1
11,The Ice Cold Bruschi,1,Ricky,Thunder Crotches,7,Jake,126.24,86.83,93.29,82.47,2015,1
12,The Ice Cold Bruschi,1,Ricky,Starr is Born,12,Nick,99.42,88.23,101.99,112.0,2015,0
13,The Ice Cold Bruschi,1,Ricky,Immortal Duffmen,11,Pat,116.76,159.6,105.0,75.57,2015,1
15,The Ice Cold Bruschi,1,Ricky,Thug Bungalow,5,Michael,112.77,108.5,109.47,114.8,2015,0
16,The Ice Cold Bruschi,1,Ricky,who invited canada,2,Peter,97.43,95.0,111.14,83.27,2015,1
1,who invited canada,2,Peter,The Dirty Diapers,4,unknown,101.61,107.3,101.02,110.17,2015,0
2,who invited canada,2,Peter,Lauren's Legit Team,6,Lauren,95.88,101.77,92.74,83.2,2015,1
