season_week,QB_points,WR1_points,WR2_points,WR3_points,RB1_points,RB2_points,TE_points,W/R/T_points,DEF_points,BN1_points,BN2_points,BN3_points,BN4_points,BN5_points,BN6_points,BN7_points,W/R/T position,WR_total_points,RB_total_points,TE_total_points,BN_points,manager,win,points_for
Ricky|2015|1,25.7,7.3,8.8,0.0,31.2,4.3,11.8,3.2,18.5,12.1,7.23,10.4,9.2,17.2,0.0,0.0,WR,19.3,35.5,11.8,56.129999999999995,Ricky,1,123.8
Ricky|2015|2,25.13,12.0,30.5,0.0,8.1,8.2,0.0,3.0,15.0,0.0,17.03,13.0,0.0,0.0,0.0,0.0,WR,42.5,16.299999999999997,0.0,30.03,Ricky,1,106.43
Ricky|2015|3,20.33,39.7,8.8,0.0,3.6,6.6,10.3,1.9,5.0,39.8,6.1,0.0,17.3,0.0,0.0,0.0,RB,48.5,12.1,10.3,63.2,Ricky,1,101.23
Ricky|2015|4,15.87,11.7,5.2,0.0,2.7,35.4,18.8,10.0,11.0,14.0,0.0,0.0,7.5,0.0,0.0,0.0,WR,26.9,38.1,18.8,21.5,Ricky,1,113.67
Ricky|2015|5,22.47,10.8,22.7,0.0,28.2,1.5,5.6,16.2,9.5,3.1,0.0,15.7,0.0,0.0,0.0,0.0,RB,33.5,45.9,5.6,18.8,Ricky,1,122.47
Ricky|2015|6,20.4,5.6,17.6,0.0,31.6,7.0,13.7,13.0,8.0,0.0,5.1,0.0,0.0,5.5,0.0,0.0,WR,23.200000000000003,38.6,13.7,10.6,Ricky,1,118.4
Ricky|2015|7,26.33,18.8,6.0,0.0,3.0,14.0,9.0,1.2,15.5,0.9,0.0,0.0,0.0,1.4,0.0,0.0,RB,24.8,18.2,9.0,2.3,Ricky,0,96.33
Ricky|2015|8,27.97,23.3,3.8,0.0,16.1,18.0,9.2,2.2,-0.5,0.0,0.0,0.0,3.1,2.6,0.0,0.0,WR,29.3,34.1,9.2,5.7,Ricky,0,105.07
Ricky|2015|9,15.87,7.3,18.9,0.0,17.9,22.7,26.0,0.1,7.5,15.1,0.0,10.3,0.3,16.0,0.0,0.0,WR,26.2,40.599999999999994,26.0,41.7,Ricky,1,124.77
Ricky|2015|10,15.03,7.2,13.6,0.0,33.7,12.1,6.7,7.0,8.5,0.0,0.0,0.0,1.6,4.8,0.0,0.0,WR,27.8,45.800000000000004,6.7,6.4,Ricky,1,110.83
Ricky|2015|11,11.23,13.8,9.9,0.0,11.7,4.3,14.9,12.5,4.5,10.9,0.0,8.9,17.6,4.6,0.0,0.0,WR,36.2,16.0,14.9,42.00000000000001,Ricky,1,86.83
Ricky|2015|12,21.33,21.1,3.6,0.0,11.4,1.6,12.1,14.1,1.5,0.0,0.0,11.8,18.7,7.8,0.0,0.0,WR,38.800000000000004,13.0,12.1,38.3,Ricky,0,88.23
Ricky|2015|13,30.2,21.3,38.3,0.0,15.3,5.6,19.2,7.7,17.5,0.0,22.9,7.8,0.0,1.2,0.0,0.0,WR,67.3,20.9,19.2,31.9,Ricky,1,159.6
Ricky|2015|15,16.9,4.2,13.2,0.0,19.6,9.4,19.4,4.3,14.5,17.2,0.0,2.8,6.2,8.5,0.0,0.0,RB,17.4,33.3,19.4,34.7,Ricky,0,108.5
Ricky|2015|16,9.6,14.2,24.1,0.0,16.5,11.7,10.4,0.0,4.5,0.0,9.5,0.9,8.3,22.7,0.0,0.0,WR,38.3,28.2,10.4,41.400000000000006,Ricky,1,95.0
Peter|2015|1,11.2,30.6,1.0,0.0,22.5,14.2,1.6,6.2,5.5,11.4,0.0,2.2,0.0,19.5,0.0,0.0,RB,31.6,42.900000000000006,1.6,33.1,Peter,0,107.3
Peter|2015|2,6.37,20.0,0.0,0.0,7.0,4.2,10.0,21.7,26.5,10.3,4.6,2.7,4.3,0.0,0.0,0.0,WR,41.7,11.2,10.0,21.900000000000002,Peter,1,101.77
Peter|2015|3,13.77,34.4,13.6,0.0,5.1,11.0,29.4,11.2,17.0,0.0,5.1,0.0,6.5,26.3,0.0,0.0,WR,59.2,16.1,29.4,37.9,Peter,1,139.97
Peter|2015|4,10.53,5.8,4.7,0.0,5.6,22.6,3.8,10.5,15.5,22.1,2.1,0.0,-0.1,0.0,0.0,0.0,WR,21.0,28.200000000000003,3.8,24.1,Peter,1,89.03
