clinched_playoffs,division_id,draft_grade,draft_position,draft_recap_url,faab_balance,has_draft_grade,league_scoring_type,name,number_of_moves,number_of_trades,team_id,team_key,url,waiver_priority,season,managers.manager,roster_adds.coverage_type,roster_adds.coverage_value,roster_adds.value,team_logos.team_logo,team_points.coverage_type,team_points.season,team_points.total,team_standings.divisional_outcome_totals.losses,team_standings.divisional_outcome_totals.ties,team_standings.divisional_outcome_totals.wins,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,is_owned_by_current_login
1.0,2.0,C+,14.0,https://football.fantasysports.yahoo.com/2015/f1/853925/12/draftrecap,12,1,head,b'Starr is Born',24,2,12,348.l.853925.t.12,https://football.fantasysports.yahoo.com/2015/f1/853925/12,12,2015,"Manager({
  ""felo_score"": 729,
  ""felo_tier"": ""gold"",
  ""guid"": ""6ULIXQKSLBRKIB6HHDSUWJKNAI"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 12,
  ""nickname"": ""Nick""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png""
})",season,2015,1302.03,3.0,0.0,8.0,4,0.692,0,9,3.0,1160.9099999999996,1302.03,1,win,5,
1.0,1.0,C,7.0,https://football.fantasysports.yahoo.com/2015/f1/853925/5/draftrecap,0,1,head,b'Thug Bungalow',28,0,5,348.l.853925.t.5,https://football.fantasysports.yahoo.com/2015/f1/853925/5,11,2015,"Manager({
  ""felo_score"": 666,
  ""felo_tier"": ""silver"",
  ""guid"": ""UG3O3JYLMANG47RCKVEORYV7CM"",
  ""image_url"": ""https://s.yimg.com/ag/images/1893/58868684902_267b2c_64sq.jpg"",
  ""is_current_login"": 1,
  ""manager_id"": 5,
  ""nickname"": ""Mike""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/dh/ap/fantasy/img/profile_96.png""
})",season,2015,1355.37,5.0,0.0,6.0,5,0.615,0,8,4.0,1273.94,1355.37,2,win,2,1.0
1.0,1.0,B,12.0,https://football.fantasysports.yahoo.com/2015/f1/853925/1/draftrecap,0,1,head,b'The Ice Cold Bruschi',30,1,1,348.l.853925.t.1,https://football.fantasysports.yahoo.com/2015/f1/853925/1,14,2015,"Manager({
  ""felo_score"": 777,
  ""felo_tier"": ""gold"",
  ""guid"": ""AH4HVFPFUWABOULTM3I26IVX44"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""is_commissioner"": 0,
  ""manager_id"": 1,
  ""nickname"": ""Ricky""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_10.png""
})",season,2015,1457.66,1.0,0.0,10.0,3,0.769,0,10,1.0,1225.08,1457.66,3,win,1,
1.0,2.0,C+,9.0,https://football.fantasysports.yahoo.com/2015/f1/853925/2/draftrecap,6,1,head,b'who invited canada',46,1,2,348.l.853925.t.2,https://football.fantasysports.yahoo.com/2015/f1/853925/2,13,2015,"Manager({
  ""felo_score"": 728,
  ""felo_tier"": ""gold"",
  ""guid"": ""3PGSNJHQVI64SC542EWTA2WWNQ"",
  ""image_url"": ""https://s.yimg.com/ag/images/4594/38094624950_d27a12_64sq.jpg"",
  ""manager_id"": 2,
  ""nickname"": ""Peter""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24996767240_023cabaf10.jpg""
})",season,2015,1425.64,2.0,0.0,9.0,3,0.769,0,10,2.0,1234.93,1425.64,4,win,2,
1.0,2.0,B-,6.0,https://football.fantasysports.yahoo.com/2015/f1/853925/10/draftrecap,60,1,head,b'The fishingtons',23,1,10,348.l.853925.t.10,https://football.fantasysports.yahoo.com/2015/f1/853925/10,10,2015,"Manager({
  ""felo_score"": 786,
  ""felo_tier"": ""gold"",
  ""guid"": ""YYVP5ZVV2OWTUYFIJFGXOVDODY"",
  ""image_url"": ""https://s.yimg.com/ag/images/4577/38998536422_a0c559_64sq.jpg"",
  ""manager_id"": 10,
  ""nickname"": ""mike""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_6.png""
})",season,2015,1302.04,5.0,0.0,6.0,5,0.615,0,8,5.0,1103.02,1302.04,5,loss,1,
1.0,1.0,A-,11.0,https://football.fantasysports.yahoo.com/2015/f1/853925/9/draftrecap,2,1,head,b'The Scientist',18,0,9,348.l.853925.t.9,https://football.fantasysports.yahoo.com/2015/f1/853925/9,9,2015,"Manager({
  ""felo_score"": 733,
  ""felo_tier"": ""gold"",
  ""guid"": ""RN5O32YPZSZDB4FX5ZUV5YOENE"",
  ""image_url"": ""https://s.yimg.com/ag/images/4682/37719466143_3d2115_64sq.jpg"",
  ""manager_id"": 9,
  ""nickname"": ""Kyle""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_8.png""
})",season,2015,1367.72,5.0,0.0,6.0,6,0.538,0,7,6.0,1245.23,1367.72,6,win,1,
,1.0,A-,5.0,https://football.fantasysports.yahoo.com/2015/f1/853925/13/draftrecap,0,1,head,b'Victor Cruisin',18,1,13,348.l.853925.t.13,https://football.fantasysports.yahoo.com/2015/f1/853925/13,5,2015,"Manager({
  ""felo_score"": 744,
  ""felo_tier"": ""gold"",
  ""guid"": ""PWZRZQGDFAHZWRIFFA7CZIYCDA"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 13,
  ""nickname"": ""Matt""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_5.png""
})",season,2015,1288.03,6.0,0.0,5.0,8,0.385,0,5,10.0,1368.6599999999999,1288.03,7,loss,2,
,2.0,C,10.0,https://football.fantasysports.yahoo.com/2015/f1/853925/4/draftrecap,25,1,head,b'The Dirty Diapers',25,0,4,348.l.853925.t.4,https://football.fantasysports.yahoo.com/2015/f1/853925/4,8,2015,"Manager({
  ""felo_score"": 641,
  ""felo_tier"": ""silver"",
  ""guid"": ""--"",
  ""manager_id"": 4,
  ""nickname"": ""--hidden--""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_6.png""
})",season,2015,1268.74,4.0,0.0,7.0,6,0.538,0,7,7.0,1200.48,1268.74,8,win,2,
,1.0,B,13.0,https://football.fantasysports.yahoo.com/2015/f1/853925/3/draftrecap,85,1,head,"b""Jadeveon's Hit Men""",4,1,3,348.l.853925.t.3,https://football.fantasysports.yahoo.com/2015/f1/853925/3,7,2015,"Manager({
  ""felo_score"": 555,
  ""felo_tier"": ""bronze"",
  ""guid"": ""J57JIHTZDZCZL5EJVFDBBFGNCI"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 3,
  ""nickname"": ""Tim""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25186667852_5eec19e99b.jpg""
})",season,2015,1256.92,6.0,0.0,5.0,7,0.462,0,6,8.0,1357.1999999999998,1256.92,9,loss,1,
,1.0,B,3.0,https://football.fantasysports.yahoo.com/2015/f1/853925/11/draftrecap,45,1,head,b'Immortal Duffmen',10,0,11,348.l.853925.t.11,https://football.fantasysports.yahoo.com/2015/f1/853925/11,3,2015,"Manager({
  ""felo_score"": 585,
  ""felo_tier"": ""bronze"",
  ""guid"": ""G2NCGCH26SABV5CRAMOQE2FQ4M"",
  ""image_url"": ""https://s.yimg.com/ag/images/4448/27143436649_398964_64sq.jpg"",
  ""manager_id"": 11,
  ""nickname"": ""PD""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_7.png""
})",season,2015,1196.71,8.0,0.0,3.0,8,0.385,0,5,12.0,1414.47,1196.71,10,loss,2,
