week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season
1,b'The Ice Cold Bruschi',1,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,105.32,123.8,94.97,100.87,2015
2,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',5,--hidden--,94.91,106.43,96.95,102.1,2015
3,b'The Ice Cold Bruschi',1,--hidden--,b'Thunder Crotches',7,--hidden--,98.54,101.23,102.01,89.87,2015
4,b'The Ice Cold Bruschi',1,--hidden--,b'The Scientist',9,--hidden--,102.49,113.67,107.05,84.53,2015
5,b'The Ice Cold Bruschi',1,--hidden--,b'Immortal Duffmen',11,--hidden--,76.25,122.47,98.02,72.7,2015
6,b'The Ice Cold Bruschi',1,--hidden--,b'Victor Cruisin',13,--hidden--,113.97,118.4,104.49,112.57,2015
7,b'The Ice Cold Bruschi',1,--hidden--,b'who invited canada',2,--hidden--,102.26,96.33,100.95,105.87,2015
8,b'The Ice Cold Bruschi',1,--hidden--,b'The Scientist',9,--hidden--,110.91,105.07,100.13,130.7,2015
9,b'The Ice Cold Bruschi',1,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,121.66,124.77,103.02,84.13,2015
10,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',5,--hidden--,109.12,110.83,116.6,71.7,2015
11,b'The Ice Cold Bruschi',1,--hidden--,b'Thunder Crotches',7,--hidden--,126.24,86.83,93.29,82.47,2015
12,b'The Ice Cold Bruschi',1,--hidden--,b'Starr is Born',12,--hidden--,99.42,88.23,101.99,112.0,2015
13,b'The Ice Cold Bruschi',1,--hidden--,b'Immortal Duffmen',11,--hidden--,116.76,159.6,105.0,75.57,2015
15,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',5,--hidden--,112.77,108.5,109.47,114.8,2015
16,b'The Ice Cold Bruschi',1,--hidden--,b'who invited canada',2,--hidden--,97.43,95.0,111.14,83.27,2015
1,b'who invited canada',2,--hidden--,b'The Dirty Diapers',4,--hidden--,101.61,107.3,101.02,110.17,2015
2,b'who invited canada',2,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,95.88,101.77,92.74,83.2,2015
3,b'who invited canada',2,--hidden--,"b""John Brown's Army""",8,--hidden--,99.52,139.97,101.83,102.6,2015
4,b'who invited canada',2,--hidden--,b'The fishingtons',10,--hidden--,103.6,89.03,98.85,79.4,2015
5,b'who invited canada',2,--hidden--,b'Starr is Born',12,--hidden--,72.67,108.83,93.18,87.17,2015
